id,age,income,score,category,region,active,signup_date
55,18,,0.7590,B,east,false,2023-01-07
56,37,50759,0.3806,B,east,true,2023-05-05
57,56,70075,0.6180,C,north,false,2023-02-19
58,30,,0.4610,C,south,false,2023-10-12
59,48,87709,0.6116,D,south,false,2023-03-23
60,42,35480,0.5246,A,east,false,2023-02-14
61,43,78932,0.4930,B,north,true,2023-02-23
62,32,84040,0.6498,A,south,true,2023-03-28
63,43,84551,0.4474,A,west,true,2023-02-06
64,22,18515,0.3705,A,south,false,2023-02-24
65,31,70845,0.6471,A,west,true,2023-08-03
66,48,100117,0.2971,E,east,false,2023-11-21
67,26,73389,0.4501,D,west,true,2023-06-28
68,31,47511,0.1950,A,east,false,2023-04-22
69,46,36269,0.8720,E,north,true,2023-10-28
70,38,51528,0.6818,A,south,false,2023-01-17
71,34,84651,0.2941,A,north,true,2023-06-08
72,28,65351,0.8663,C,east,false,2023-09-10
73,37,68262,0.4415,E,north,false,2023-04-12
74,36,67772,0.3682,D,south,false,2023-06-03
75,60,87835,0.2235,E,east,false,2023-04-13
76,41,,0.3097,A,east,true,2023-05-06
77,52,76827,0.2500,D,west,false,2023-03-14
78,42,61216,0.5738,D,east,true,2023-01-01
79,39,37086,0.4286,A,south,true,2023-05-04
80,38,73329,0.2718,D,north,false,2023-04-20
81,53,52363,0.6280,A,south,false,2023-07-08
82,30,68080,0.2316,D,north,true,2023-07-08
83,51,56209,0.4245,D,west,false,2023-11-27
84,40,27322,0.4806,E,north,false,2023-10-14
85,62,49997,0.8340,A,south,true,2023-05-19
86,45,62207,0.5884,A,west,false,2023-04-07
87,23,31120,0.5420,B,east,false,2023-04-16
88,55,60319,0.2813,E,south,false,2023-08-14
89,27,47947,0.3491,A,south,true,2023-03-26
90,63,45353,0.6114,C,north,false,2023-11-24
91,34,64857,0.3822,D,south,false,2023-01-06
92,45,59873,0.1621,B,west,false,2023-11-17
93,47,67455,0.3751,A,west,false,2023-04-13
94,35,84823,0.4158,A,north,false,2023-08-18
95,25,73146,0.5293,E,west,true,2023-07-14
96,40,21081,0.0447,B,west,true,2023-03-01
97,41,58693,0.4047,A,east,true,2023-09-01
98,20,61650,0.3835,E,east,true,2023-02-23
99,50,80079,0.4954,A,west,false,2023-08-15
100,60,54545,0.2874,E,north,true,2023-06-05
101,48,40177,0.5339,D,east,true,2023-07-11
102,35,53102,0.3670,A,east,false,2023-08-16
103,57,89990,0.2968,E,south,false,2023-01-03
104,37,69615,0.5217,E,west,true,2023-12-27
105,35,47498,0.4898,B,north,true,2023-07-02
106,79,52980,0.5273,B,west,true,2023-06-11
107,60,59739,0.2608,E,south,true,2023-02-09
108,43,51330,0.3339,A,east,false,2023-11-28
109,43,68483,0.4806,E,north,true,2023-11-25
110,37,74905,0.4767,C,east,true,2023-01-08
111,51,50085,0.4003,A,south,false,2023-04-12
112,35,65039,0.4841,C,west,false,2023-04-19
113,34,62587,0.8409,D,west,false,2023-06-08
114,39,75222,0.5885,A,east,true,2023-12-18
115,36,64384,0.3581,C,west,false,2023-12-05
116,33,60102,0.4859,B,east,false,2023-05-03
117,38,61776,0.4617,C,west,true,2023-01-08
118,38,26990,0.8126,B,north,true,2023-04-27
119,19,58803,0.4807,A,north,false,2023-02-03
120,31,107276,0.3006,E,south,false,2023-11-14
121,53,58767,0.5979,E,west,false,2023-11-16
122,41,48382,0.5792,C,north,true,2023-03-17
123,56,57667,0.5447,B,south,false,2023-04-17
124,37,59407,0.2753,C,west,false,2023-08-01
125,25,58504,0.6114,B,south,false,2023-09-06
126,34,95259,0.5691,B,north,true,2023-10-27
127,52,48897,0.3231,B,north,false,2023-06-24
128,48,,0.4479,A,east,false,2023-04-13
128,49,33460,0.5534,B,west,true,2023-02-14
130,18,97696,0.3670,D,north,true,2023-08-05
131,34,91099,0.5806,E,north,true,2023-11-05
132,50,79975,0.4366,D,west,false,2023-03-12
133,44,34691,0.8093,A,east,true,2023-01-20
134,25,103580,0.4109,B,south,true,2023-07-15
135,41,70791,0.4089,A,west,true,2023-09-26
136,51,68499,0.7317,B,east,false,2023-03-14
137,32,102260,0.5051,E,east,true,2023-08-08
138,35,65878,0.4249,E,north,true,2023-01-02
139,38,53356,0.4501,C,west,true,2023-02-17
140,53,28938,0.4404,D,north,false,2023-10-09
141,35,74286,0.4739,B,north,false,2023-02-23
142,48,87787,0.5982,A,south,false,2023-03-03
143,60,49889,0.5348,C,north,true,2023-04-20
144,40,45905,0.5318,B,west,true,2023-11-16
145,52,53617,0.8602,A,east,false,2023-10-21
146,36,39534,0.3892,C,west,true,2023-04-11
147,38,62109,0.2837,C,south,true,2023-02-24
148,29,85361,0.3240,D,south,true,2023-01-02
149,25,33751,0.4354,B,north,false,2023-06-24
150,46,43484,0.6081,C,north,true,2023-07-14
151,45,67345,0.1025,D,south,true,2023-10-03
152,44,17559,0.3677,E,west,false,2023-08-08
153,49,90889,0.5277,D,north,true,2023-06-24
154,29,45835,0.5473,C,east,false,2023-12-20
155,49,51035,0.5303,A,west,true,2023-09-22
156,38,46763,0.2396,A,north,false,2023-02-22
157,24,56231,0.4010,C,north,false,2023-03-28
158,37,57836,0.3678,D,east,false,2023-11-14
159,45,97016,0.7240,D,south,true,2023-06-02
160,34,77555,0.5642,A,west,true,2023-10-19
161,53,68708,0.6067,C,north,false,2023-03-26
162,51,71582,0.5521,C,east,false,2023-04-17
163,48,51207,0.3705,D,east,true,2023-08-21
164,32,35273,0.6432,B,east,false,2023-01-08
165,49,58723,0.4834,B,east,true,2023-06-07
166,46,69506,0.4789,B,west,true,2023-09-16
167,45,74919,0.6052,C,west,true,2023-03-01
168,56,31219,0.7725,A,east,false,2023-09-20
169,32,27886,0.5502,E,north,true,2023-06-17
170,26,67241,0.5375,B,north,false,2023-08-27
171,58,21903,0.5532,A,south,false,2023-02-13
172,32,35058,0.6340,A,south,false,2023-07-15
173,56,75971,0.4386,B,north,false,2023-06-11
174,33,36104,0.6703,D,west,true,2023-09-04
175,34,60295,0.3878,B,south,false,2023-02-24
176,38,61694,0.6247,D,north,true,2023-04-17
177,40,,0.7477,B,west,true,2023-06-28
178,40,82901,0.6268,E,north,false,2023-05-27
179,52,46367,0.5763,E,south,false,2023-08-18
180,58,52806,0.5882,C,west,false,2023-07-18
181,38,77060,0.4901,E,east,false,2023-10-28
182,18,33738,0.4505,D,north,true,2023-12-02
183,61,58965,0.5526,D,north,true,2023-07-04
184,50,72297,0.4453,D,east,true,2023-02-03
185,33,66779,0.3738,A,south,true,2023-02-28
186,43,47698,0.5726,B,north,false,2023-07-21
187,18,39855,0.3418,B,east,false,2023-11-17
188,33,578004,0.6946,E,south,true,2023-11-03
189,48,56258,0.4653,C,east,true,2023-02-27
190,40,62547,0.5734,E,south,true,2023-09-16
191,33,60771,0.6972,C,south,true,2023-11-01
192,29,66788,0.5446,C,south,false,2023-12-27
193,69,50005,0.7394,D,south,false,2023-02-11
194,45,93594,0.3459,A,west,true,2023-10-08
195,48,65896,0.6889,B,west,true,2023-09-13
196,28,19151,0.6213,D,north,false,2023-01-27
197,31,37922,0.4989,A,west,false,2023-04-26
198,40,66564,0.5300,C,west,true,2023-02-21
199,52,44160,0.2340,C,north,false,2023-11-21
200,37,33104,0.4251,D,south,false,2023-11-08
201,51,60656,0.8860,C,north,true,2023-06-02
202,51,73188,0.7327,B,north,false,2023-12-27
203,43,81772,0.3053,C,north,true,2023-10-23
204,46,63396,0.6101,A,west,false,2023-09-07
205,31,52989,0.4592,B,west,true,2023-04-15
206,45,43928,0.5385,C,east,true,2023-10-19
207,41,64784,0.6249,A,east,false,2023-03-10
208,29,33791,0.4258,D,west,false,2023-11-28
209,36,89547,0.4309,A,west,false,2023-07-16
210,36,,0.3672,E,south,true,2023-04-25
211,39,83737,0.6688,A,south,false,2023-04-17
212,43,,0.6825,B,west,true,2023-10-19
213,50,,0.2585,E,south,false,2023-04-17
214,38,34227,0.5505,B,west,false,2023-07-15
215,66,79685,0.5299,C,west,true,2023-08-21
216,45,60365,0.6981,E,east,false,2023-11-20
217,51,527067,0.5672,C,north,true,2023-01-08
218,30,70371,0.4836,D,north,false,2023-08-17
219,47,40226,0.5511,B,east,false,2023-09-12
220,36,72410,0.5793,B,south,false,2023-12-11
221,53,61005,0.5756,B,south,true,2023-06-10
222,39,80079,0.4542,B,west,false,2023-12-25
223,59,66305,0.5678,B,south,true,2023-06-08
224,69,50166,0.3384,A,west,true,2023-02-24
225,33,42906,0.4211,E,west,true,2023-06-22
226,70,32711,0.5509,D,south,false,2023-04-27
227,55,42471,0.3377,D,east,false,2023-08-26
228,44,75287,0.5735,A,east,false,2023-12-17
229,53,42307,0.9393,B,east,false,2023-04-21
230,24,75228,0.3832,D,west,false,2023-06-18
231,43,61767,0.5497,B,west,true,2023-01-21
232,29,75032,0.4978,E,north,false,2023-02-14
233,37,49648,0.4316,E,east,false,2023-10-22
234,23,51126,0.6373,A,west,true,2023-07-17
235,51,52302,0.4754,A,east,true,2023-02-20
236,34,66645,0.6357,A,east,false,2023-07-27
237,39,15170,0.7146,B,east,true,2023-12-02
238,51,62178,0.4020,E,west,false,2023-10-27
239,18,46759,0.4968,B,south,true,2023-10-02
240,36,36282,0.7230,B,east,false,2023-11-13
241,28,,0.6118,A,north,true,2023-01-17
242,33,38034,0.4568,D,east,false,2023-02-03
243,34,90851,0.2505,E,north,true,2023-08-28
244,47,17338,0.4506,B,north,true,2023-12-02
245,48,,0.5601,E,south,true,2023-12-22
246,56,59417,0.4051,E,north,false,2023-08-16
247,66,31541,0.3523,B,west,false,2023-11-10
248,18,109103,0.7218,C,north,true,2023-12-10
249,53,75848,0.4831,C,north,true,2023-08-23
250,32,80566,0.5046,E,west,true,2023-06-09
251,30,68458,0.5291,A,west,true,2023-03-11
252,49,50602,0.5685,C,west,true,2023-06-22
253,40,81743,0.4887,D,south,true,2023-06-07
254,29,48316,0.5142,B,west,true,2023-05-10
255,37,35666,0.5588,E,west,true,2023-05-27
256,34,96893,0.4950,C,south,false,2023-07-04
257,37,79101,0.4280,D,east,false,2023-12-26
258,65,48529,0.4867,E,west,false,2023-06-11
259,54,64789,0.5489,D,east,false,2023-02-17
260,47,60052,0.6626,C,west,false,2023-09-15
261,37,75821,0.3181,D,north,false,2023-07-20
262,48,78149,0.5256,E,west,true,2023-11-07
263,29,27877,0.6141,E,east,false,2023-09-26
264,44,51421,0.5955,B,east,true,2023-08-16
265,42,62135,0.4878,B,west,true,2023-03-20
266,24,29476,0.3420,C,south,false,2023-10-04
267,49,46019,0.4539,C,east,true,2023-11-25
268,41,40465,0.5240,A,east,false,2023-12-18
269,34,74247,0.2188,A,north,true,2023-03-15
270,29,29827,0.7311,D,west,true,2023-09-18
271,35,52069,0.5961,B,south,true,2023-05-13
272,21,59596,0.3816,A,east,false,2023-06-26
273,29,42074,0.4840,B,south,true,2023-03-13
274,38,48786,0.4779,A,west,false,2023-08-07
275,26,63725,0.2886,E,east,false,2023-07-05
276,29,57156,0.6037,D,south,false,2023-02-28
277,44,68179,0.3871,A,north,false,2023-04-24
278,35,44265,0.5978,E,west,false,2023-02-10
279,27,68270,0.5456,C,west,false,2023-08-19
280,47,63464,0.3182,A,west,false,2023-04-22
281,58,56653,0.2415,E,south,false,2023-08-19
282,40,50043,0.3819,A,west,false,2023-05-26
283,40,31636,0.4472,A,west,true,2023-11-16
284,42,60827,0.7179,D,south,false,2023-02-10
285,30,46737,0.8260,C,west,false,2023-04-23
286,27,46103,0.4501,C,south,false,2023-06-18
287,21,53286,0.5991,A,west,true,2023-06-27
288,24,49649,0.6461,C,east,true,2023-05-28
289,26,50425,0.5373,E,east,true,2023-06-21
290,50,,0.5110,E,south,false,2023-07-28
291,48,58059,0.7555,B,south,true,2023-12-16
292,47,70168,0.6082,C,south,true,2023-09-04
293,59,23931,0.6122,C,south,true,2023-10-04
294,20,792,0.6263,D,west,true,2023-07-09
295,59,63236,0.2747,B,north,true,2023-08-22
296,55,46699,0.4943,E,south,false,2023-01-20
297,30,42926,0.3919,C,south,true,2023-08-01
298,59,65652,0.6769,B,south,false,2023-04-02
299,29,54365,0.4832,E,west,true,2023-02-07
300,37,53675,0.7025,E,east,false,2023-03-10
301,49,41832,0.4882,B,west,true,2023-07-17
302,55,59476,0.3727,B,west,true,2023-08-28
303,50,56242,0.6348,A,south,true,2023-10-15
303,25,100587,0.4316,E,north,true,2023-10-19
305,41,88453,0.6873,B,north,true,2023-05-19
306,27,60764,0.6365,E,east,false,2023-11-17
307,41,78139,0.4066,E,south,false,2023-02-02
308,23,58946,0.3609,B,east,false,2023-07-06
309,59,64909,0.7321,D,south,false,2023-06-07
310,57,41476,0.2555,C,south,true,2023-07-05
311,43,74283,0.5988,D,west,true,2023-09-28
312,39,20846,0.3352,D,east,false,2023-05-13
313,36,69514,0.1981,C,south,false,2023-03-08
314,52,66195,0.7882,B,west,true,2023-01-27
315,42,56407,0.2779,C,west,true,2023-05-16
316,34,90848,0.6567,B,south,true,2023-04-21
317,39,75759,0.3511,B,east,false,2023-09-08
318,21,83573,0.3607,B,south,false,2023-01-21
319,46,41291,0.5531,E,south,true,2023-03-19
320,18,33288,0.4937,C,south,false,2023-11-25
321,37,35030,0.7604,B,north,true,2023-01-25
322,41,84895,0.5219,C,west,true,2023-09-21
323,45,45231,0.4797,E,east,false,2023-07-19
324,56,43263,0.7029,A,west,false,2023-03-01
325,44,56405,0.4728,D,east,true,2023-09-05
326,41,69839,0.3831,A,east,true,2023-05-25
327,57,37493,0.4556,C,south,false,2023-06-22
328,55,44934,0.6052,D,east,true,2023-05-16
329,38,61114,0.3412,D,south,false,2023-05-20
330,40,55380,0.4351,D,south,true,2023-04-03
331,38,62194,0.6543,D,south,false,2023-11-09
332,44,71655,0.5167,C,west,false,2023-10-19
333,42,78887,0.7805,A,east,false,2023-07-16
334,22,64585,0.4355,D,west,true,2023-11-11
335,48,53134,0.7796,A,north,false,2023-01-24
336,31,,0.6919,C,north,false,2023-05-25
337,28,61543,0.2534,D,south,false,2023-07-04
338,46,90579,0.4364,E,north,true,2023-12-18
339,33,70409,0.4893,E,west,false,2023-06-13
340,25,55330,0.6358,B,south,true,2023-10-20
341,37,30105,0.5748,C,south,true,2023-11-22
342,41,57208,0.4566,C,south,false,2023-09-21
343,47,55769,0.6140,B,north,false,2023-11-02
343,35,55923,0.4380,C,south,false,2023-09-13
345,43,52527,0.3922,A,south,false,2023-11-04
346,44,64676,0.2750,C,north,true,2023-08-14
347,36,33762,0.5922,D,south,false,2023-02-22
348,35,29142,0.5032,E,south,true,2023-08-08
349,55,41377,0.5506,D,north,true,2023-11-22
350,49,58788,0.4450,A,west,true,2023-07-20
351,33,81191,0.3934,C,west,false,2023-06-11
352,18,74376,0.4987,B,west,true,2023-11-02
353,42,36505,0.7036,C,west,false,2023-09-01
354,32,,0.3383,B,south,true,2023-05-06
355,23,61871,0.5358,E,west,false,2023-08-16
356,50,51833,0.7892,B,west,true,2023-12-03
357,43,35336,0.7798,C,east,true,2023-01-17
358,27,47213,0.3601,B,south,false,2023-11-25
359,35,38885,0.5387,C,west,false,2023-07-07
360,41,44264,0.3498,B,north,false,2023-02-15
361,44,37591,0.2880,B,west,false,2023-03-19
362,46,85165,0.6019,C,south,true,2023-10-01
363,47,44711,0.5858,D,east,false,2023-07-01
364,63,63630,0.6733,C,west,false,2023-06-23
365,70,40179,0.3408,B,east,true,2023-04-20
366,62,65669,0.4503,C,north,false,2023-04-18
367,39,61012,0.5172,A,east,true,2023-01-05
368,45,63874,0.4822,D,north,false,2023-06-03
369,21,55433,0.2961,D,south,true,2023-08-27
370,18,50782,0.4490,B,east,false,2023-02-24
371,26,57387,0.5417,C,north,true,2023-02-15
372,18,61788,0.7031,C,east,false,2023-06-12
373,44,83250,0.6521,D,north,true,2023-04-22
374,38,82112,0.5497,E,north,true,2023-06-20
375,40,65513,0.5110,B,east,true,2023-11-18
376,18,45540,0.6424,E,south,true,2023-01-14
377,18,86251,0.3601,D,west,true,2023-12-20
378,63,33742,0.3966,D,east,true,2023-02-13
379,45,54479,0.6270,C,east,false,2023-05-06
380,48,90659,0.3674,B,south,true,2023-08-13
381,53,52753,0.5787,D,east,false,2023-09-19
382,36,61644,0.4163,A,east,false,2023-02-05
383,28,49635,0.5244,C,east,true,2023-10-24
384,34,67556,0.5493,A,north,true,2023-10-15
385,24,50991,0.3812,B,east,true,2023-05-25
386,51,57909,0.5865,A,east,false,2023-03-26
387,32,48130,0.5466,B,south,true,2023-06-04
388,52,61725,0.3786,B,north,false,2023-01-03
389,44,76145,0.7232,E,east,true,2023-12-17
390,47,77158,0.6213,C,south,false,2023-05-14
391,27,49723,0.5263,A,west,false,2023-09-01
392,39,74274,0.6686,A,west,true,2023-03-05
393,22,76216,0.5053,C,south,false,2023-02-14
394,50,81335,0.4539,C,north,true,2023-10-16
395,18,74089,0.4003,B,north,true,2023-04-14
396,21,91617,0.5449,D,west,true,2023-09-01
397,38,57212,0.6429,C,east,true,2023-06-08
398,33,57295,0.5882,D,west,true,2023-06-28
399,43,50617,0.4842,B,north,true,2023-11-18
400,38,49901,0.4413,D,west,true,2023-07-06
401,57,40175,0.3460,B,north,true,2023-10-18
402,39,77833,0.4437,C,west,false,2023-10-14
403,43,70884,0.5818,E,west,false,2023-10-24
404,46,63115,0.5801,A,west,true,2023-11-01
405,47,62083,0.5541,E,west,true,2023-07-08
406,25,83261,0.3828,E,south,false,2023-12-21
407,34,102085,0.3189,D,south,false,2023-06-17
408,36,35592,0.6843,A,north,false,2023-06-25
409,35,82530,0.6418,E,south,true,2023-08-21
410,35,87657,0.4092,E,south,false,2023-03-11
411,44,87037,0.5381,D,north,false,2023-09-07
412,34,38058,0.4689,A,south,false,2023-11-18
413,37,88212,0.6395,C,north,false,2023-04-01
414,59,60333,0.4621,E,east,false,2023-06-02
415,19,35990,0.3407,C,south,true,2023-11-10
416,46,57464,0.5769,C,north,false,2023-04-15
417,25,56147,0.2978,B,east,true,2023-06-23
418,44,67729,0.6359,E,north,true,2023-12-01
419,42,44393,0.2027,B,north,true,2023-05-09
420,56,64783,0.6803,A,north,true,2023-11-27
421,36,54854,0.4872,B,east,true,2023-08-01
422,27,35922,0.5405,B,south,true,2023-09-14
423,65,45338,0.3346,C,north,true,2023-02-05
424,37,58271,0.4943,C,north,true,2023-08-10
425,42,93701,0.4220,D,south,false,2023-06-14
426,44,80716,0.5581,A,west,false,2023-04-04
427,39,62181,0.5273,E,east,false,2023-01-21
428,26,57721,0.7283,A,west,false,2023-12-09
429,27,70170,0.6412,C,south,true,2023-11-05
430,34,76400,0.4648,B,west,false,2023-06-04
431,66,48275,0.3626,A,south,true,2023-07-09
432,30,83923,0.6295,E,east,true,2023-07-03
433,29,56823,0.5734,B,west,true,2023-04-11
434,27,53666,0.4801,E,north,true,2023-03-02
435,42,77995,0.2908,A,south,true,2023-04-05
436,43,60335,0.5602,D,east,false,2023-02-21
437,44,46260,0.7536,B,east,false,2023-04-22
438,52,61704,0.4711,A,south,false,2023-05-17
439,40,83463,0.6396,C,east,false,2023-12-04
440,37,29569,0.3882,D,east,true,2023-05-22
441,27,535206,0.5851,B,east,false,2023-12-04
442,49,40086,0.3709,C,north,false,2023-10-08
443,26,70772,0.3266,C,east,false,2023-09-15
444,29,56973,0.4193,D,west,false,2023-01-01
445,55,33851,0.4751,B,west,false,2023-06-25
446,46,68906,0.3815,B,east,false,2023-12-17
447,50,74320,0.5175,A,east,false,2023-04-11
448,45,66307,0.6271,D,south,false,2023-08-06
449,42,78380,0.5641,E,west,true,2023-07-18
450,39,71567,0.5282,C,east,false,2023-10-10
451,18,47632,0.6129,D,west,false,2023-11-05
452,27,53764,0.3583,C,north,false,2023-02-03
453,30,44520,0.5448,A,east,true,2023-07-10
454,54,76013,0.3493,E,south,false,2023-09-17
455,18,76109,0.2325,C,east,true,2023-11-11
456,45,41633,0.5748,E,north,false,2023-03-24
457,37,47530,0.5758,D,south,false,2023-08-09
458,18,86677,0.5548,A,east,true,2023-11-12
459,28,61395,0.6757,A,south,true,2023-03-03
460,39,57720,0.6383,C,east,false,2023-06-23
461,35,72713,0.2665,C,south,false,2023-01-03
462,42,51988,0.4559,E,north,true,2023-08-16
463,53,31987,0.4225,B,north,false,2023-02-03
464,32,41591,0.6198,C,south,true,2023-11-12
465,45,63138,0.5084,B,south,true,2023-09-06
466,57,57606,0.6994,A,south,true,2023-06-26
467,18,71035,0.3526,D,west,false,2023-04-04
468,23,51820,0.5828,B,south,false,2023-09-19
469,63,58818,0.5522,A,north,false,2023-01-10
470,31,59057,0.8770,B,south,true,2023-09-19
471,43,85181,0.4933,D,west,true,2023-06-14
472,30,569298,0.4766,D,south,true,2023-08-17
473,55,72800,0.3779,A,south,true,2023-05-03
474,30,43128,0.8646,C,south,true,2023-07-11
475,36,71705,0.6094,D,west,false,2023-02-02
476,26,54712,0.4640,C,east,true,2023-02-14
477,46,44880,0.2661,B,north,false,2023-08-19
478,45,56840,0.5413,C,north,false,2023-03-25
479,44,73238,0.4881,C,north,true,2023-04-15
479,37,45343,0.7825,D,west,true,2023-04-23
481,55,36589,0.4508,A,north,true,2023-05-27
482,47,58373,0.5385,C,north,true,2023-10-27
483,50,73653,0.4652,E,south,false,2023-10-26
484,35,73751,0.6467,E,west,false,2023-05-03
485,54,48900,0.5577,D,east,true,2023-05-07
486,57,77551,0.6227,C,west,true,2023-05-22
487,41,51849,0.3194,D,north,false,2023-06-15
488,40,35780,0.4932,C,south,false,2023-11-19
489,28,88741,0.6381,C,north,false,2023-05-24
490,44,71016,0.3038,A,west,false,2023-05-06
491,49,63920,0.5533,C,east,true,2023-11-03
492,35,47431,0.5563,B,west,true,2023-05-28
493,36,38059,0.5608,A,west,true,2023-09-04
494,52,77934,0.3951,B,south,false,2023-08-02
495,46,45850,0.4302,C,west,true,2023-12-09
496,30,64123,0.6995,A,south,true,2023-02-27
497,38,103740,0.7619,C,east,true,2023-09-06
498,43,81598,0.2888,A,west,false,2023-11-23
499,48,30963,0.4035,A,west,false,2023-08-16
500,55,,0.4235,B,north,true,2023-08-08
501,39,61947,0.3887,D,west,true,2023-03-25
502,29,65760,0.6558,D,north,false,2023-09-27
503,54,23071,0.2871,D,east,false,2023-06-10
504,28,53356,0.4329,B,east,true,2023-11-07
505,18,58573,0.3162,C,south,false,2023-05-07
506,53,46279,0.4083,D,east,true,2023-01-15
507,18,42547,0.6643,D,west,true,2023-10-07
508,41,53396,0.3708,B,west,true,2023-03-20
509,43,70750,0.3391,D,north,false,2023-07-07
510,44,53656,0.3023,D,east,true,2023-10-24
511,56,70302,0.5558,B,north,false,2023-10-19
512,29,55097,0.5208,B,south,false,2023-04-07
513,48,28474,0.2791,B,south,true,2023-06-24
514,46,46552,0.5801,C,north,true,2023-08-12
515,18,65253,0.3134,C,west,false,2023-02-07
516,57,69084,0.5752,E,north,false,2023-10-12
517,37,53245,0.5772,B,north,true,2023-04-14
518,50,81617,0.3886,D,north,false,2023-09-16
519,61,68943,0.4125,C,south,false,2023-10-13
520,43,35847,0.3984,B,west,false,2023-04-13
521,59,63768,0.4432,E,west,false,2023-06-06
522,18,46700,0.4624,E,north,true,2023-12-28
523,43,90599,0.4096,D,south,false,2023-01-18
524,51,48638,0.6078,E,south,false,2023-08-14
525,31,64648,0.5488,A,north,true,2023-04-05
526,49,58193,0.2863,A,east,true,2023-02-06
527,39,46003,0.6306,E,north,true,2023-06-01
528,46,62188,0.1615,A,west,true,2023-04-10
529,47,62763,0.4719,B,west,true,2023-10-23
530,37,68082,0.4555,B,east,true,2023-02-10
531,45,19510,0.4299,B,east,true,2023-03-01
531,29,8064,0.1714,E,south,false,2023-05-01
533,59,72480,0.4525,C,north,false,2023-11-15
534,53,94364,0.6276,B,east,false,2023-12-12
535,42,59059,0.6179,D,north,false,2023-05-11
536,19,65424,0.3384,C,east,false,2023-10-13
537,42,59535,0.5349,B,west,false,2023-08-02
538,22,61172,0.5447,C,east,false,2023-08-15
539,42,83044,0.3965,D,west,false,2023-03-14
540,34,52602,0.4239,D,south,false,2023-06-04
541,19,71622,0.5853,D,west,true,2023-03-01
542,47,65641,0.5007,D,east,false,2023-06-04
543,51,58058,0.4745,D,north,false,2023-06-21
544,32,540377,0.3988,C,south,true,2023-07-06
545,42,96643,0.5747,C,north,true,2023-08-21
546,56,65929,0.1506,E,north,true,2023-02-10
547,45,48060,0.4800,B,north,true,2023-04-26
548,43,45995,0.6627,B,west,true,2023-01-27
549,32,69742,0.5618,D,north,false,2023-07-20
550,37,54009,0.5313,D,south,false,2023-04-15
551,51,64644,0.4593,A,west,true,2023-09-22
552,51,56655,0.3951,C,west,true,2023-09-03
553,38,59475,0.3829,D,west,false,2023-06-13
554,28,52510,0.4248,B,south,true,2023-02-13
555,18,42497,0.4103,A,north,true,2023-12-14
556,47,64661,0.1505,D,east,false,2023-04-13
557,39,46590,-0.0403,A,west,false,2023-01-15
558,39,88574,0.3090,D,south,true,2023-09-04
